"Date","Price","Open","High","Low","Vol.","Change %"
"01/13/2016","104.925","104.890","105.015","104.810","","0.00%"
"01/12/2016","104.925","104.900","105.005","104.770","","0.02%"
"01/11/2016","104.900","104.890","105.040","104.770","","0.00%"
"01/09/2016","104.900","104.830","104.900","104.830","","0.00%"
"01/08/2016","104.900","104.900","105.000","104.830","","0.00%"
"01/07/2016","104.900","104.700","105.000","104.700","","0.05%"
"01/06/2016","104.850","104.880","104.980","104.700","","0.00%"
"01/05/2016","104.850","104.850","105.000","104.700","","0.03%"
"01/04/2016","104.820","104.810","104.950","104.600","","-0.03%"
"01/02/2016","104.850","104.700","104.850","104.700","","0.00%"
"01/01/2016","104.850","104.700","104.850","104.700","","0.00%"
"12/31/2015","104.850","104.800","105.050","104.700","","-0.02%"
"12/30/2015","104.875","104.820","104.945","104.750","","-0.02%"
"12/29/2015","104.900","104.800","104.900","104.750","","0.00%"
"12/28/2015","104.900","104.720","104.950","104.700","","0.10%"
"12/26/2015","104.800","104.700","104.800","104.700","","0.00%"
"12/25/2015","104.800","104.700","104.800","104.700","","0.00%"
"12/24/2015","104.800","104.700","104.800","104.600","","-0.02%"
"12/23/2015","104.820","104.750","104.900","104.700","","-0.08%"
"12/22/2015","104.900","104.770","105.000","104.770","","0.00%"
"12/21/2015","104.900","104.700","104.900","104.680","","0.14%"
"12/19/2015","104.755","104.600","104.755","104.600","","0.00%"
"12/18/2015","104.755","104.600","104.855","104.600","","0.00%"
"12/17/2015","104.750","104.730","104.950","104.600","","-0.12%"
"12/16/2015","104.875","104.600","104.945","104.600","","0.07%"
"12/15/2015","104.800","104.600","105.020","104.500","","0.05%"
"12/14/2015","104.750","104.100","104.750","104.080","","0.43%"
"12/12/2015","104.300","104.150","104.300","104.150","","0.00%"
"12/11/2015","104.300","104.100","104.350","104.100","","0.34%"
"12/10/2015","103.950","103.800","104.050","103.800","","0.24%"
"12/09/2015","103.700","103.580","103.950","103.430","","-0.05%"